census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06071002016,1.9125683060109289,7,06071, San Bernardino County,CA,2016,20.16,3660,17.1%,36.7,41.1%,0.9%
06071000501,1.9090041361756285,12,06071, San Bernardino County,CA,501,5.01,6286,15.0%,35.8,59.2%,2.8%
06071003503,1.9041024753332179,11,06071, San Bernardino County,CA,3503,35.03,5777,11.3%,31.2,72.6%,11.2%
06071001307,1.8993352326685662,8,06071, San Bernardino County,CA,1307,13.07,4212,11.8%,32,76.9%,3.3%
06071009717,1.8975332068311195,8,06071, San Bernardino County,CA,9717,97.17,4216,18.0%,38.3,36.6%,5.6%
06071000401,1.889763779527559,12,06071, San Bernardino County,CA,401,4.01,6350,18.8%,36.4,52.1%,3.8%
06071011600,1.885014137606032,16,06071, San Bernardino County,CA,11600,116,8488,24.1%,39.9,26.5%,5.6%
06071001806,1.876172607879925,9,06071, San Bernardino County,CA,1806,18.06,4797,16.6%,37.4,63.9%,3.9%
06071010023,1.8450184501845017,11,06071, San Bernardino County,CA,10023,100.23,5962,13.9%,33.5,50.7%,1.5%
06071009711,1.8431292238378045,18,06071, San Bernardino County,CA,9711,97.11,9766,19.4%,41.2,30.7%,9.7%
06071001200,1.834862385321101,9,06071, San Bernardino County,CA,1200,12,4905,15.9%,40,55.6%,2.0%
06071000817,1.796253528355145,7,06071, San Bernardino County,CA,817,8.17,3897,23.9%,38.2,32.9%,3.1%
06071000819,1.7953321364452424,9,06071, San Bernardino County,CA,819,8.19,5013,23.0%,44.1,27.9%,3.9%
06071001104,1.791530944625407,11,06071, San Bernardino County,CA,1104,11.04,6140,15.1%,33.8,67.1%,1.7%
06071009714,1.7857142857142856,7,06071, San Bernardino County,CA,9714,97.14,3920,21.1%,36.3,43.8%,8.0%
06071007901,1.7581823099810658,13,06071, San Bernardino County,CA,7901,79.01,7394,21.3%,42.8,33.3%,7.4%
