census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06073014601,1.2360939431396785,6,06073, San Diego County,CA,14601,146.01,4854,21.1%,38.4,25.3%,7.4%
06073016806,1.2355848434925865,6,06073, San Diego County,CA,16806,168.06,4856,18.8%,40.4,31.8%,0.7%
06073017054,1.221427325074158,7,06073, San Diego County,CA,17054,170.54,5731,27.9%,48.8,14.1%,1.4%
06073013506,1.2186205215695831,5,06073, San Diego County,CA,13506,135.06,4103,13.8%,33.1,50.5%,5.3%
06073009000,1.2050612572805786,6,06073, San Diego County,CA,9000,90,4979,9.7%,33.2,55.1%,2.5%
06073004800,1.1987532965715655,5,06073, San Diego County,CA,4800,48,4171,11.0%,34.5,86.8%,2.9%
06073019208,1.1872959335114277,4,06073, San Diego County,CA,19208,192.08,3369,26.2%,43.8,22.5%,0.0%
06073004700,1.1743981209630063,2,06073, San Diego County,CA,4700,47,1703,12.1%,33.6,71.9%,4.1%
06073013303,1.1739385638818234,6,06073, San Diego County,CA,13303,133.03,5111,20.7%,39.1,71.8%,3.3%
06073008362,1.1716461628588166,4,06073, San Diego County,CA,8362,83.62,3414,16.3%,35,6.1%,2.5%
06073003115,1.1638056444573757,8,06073, San Diego County,CA,3115,31.15,6874,16.8%,38.4,39.4%,16.8%
06073015902,1.1587485515643106,6,06073, San Diego County,CA,15902,159.02,5178,10.9%,33.2,27.9%,6.1%
06073000800,1.1587485515643106,6,06073, San Diego County,CA,800,8,5178,13.2%,34.4,23.8%,4.4%
06073016701,1.1569204880100967,11,06073, San Diego County,CA,16701,167.01,9508,17.3%,39.2,12.8%,3.4%
06073008331,1.1446012972148034,3,06073, San Diego County,CA,8331,83.31,2621,15.6%,43.4,9.1%,0.0%
06073013401,1.1431184270690444,5,06073, San Diego County,CA,13401,134.01,4374,22.0%,39.5,60.9%,0.0%
06073008361,1.1389521640091116,3,06073, San Diego County,CA,8361,83.61,2634,14.3%,32.1,12.6%,2.8%
06073013906,1.134001134001134,6,06073, San Diego County,CA,13906,139.06,5291,15.8%,33.7,35.1%,13.7%
06073003214,1.1290929619872037,6,06073, San Diego County,CA,3214,32.14,5314,15.4%,33.8,38.5%,23.8%
06073008702,1.1278195488721805,6,06073, San Diego County,CA,8702,87.02,5320,19.0%,36.4,30.9%,6.1%
06073010109,1.1233851338700618,6,06073, San Diego County,CA,10109,101.09,5341,19.9%,36.3,79.6%,3.4%
06073017045,1.1169024571854058,3,06073, San Diego County,CA,17045,170.45,2686,18.6%,43.8,8.1%,1.0%
06073013421,1.1140819964349375,5,06073, San Diego County,CA,13421,134.21,4488,17.5%,40,41.7%,6.0%
06073010107,1.1129660545353368,8,06073, San Diego County,CA,10107,101.07,7188,15.9%,35.1,73.1%,3.7%
06073007301,1.1084426380934786,6,06073, San Diego County,CA,7301,73.01,5413,15.1%,34.8,11.0%,1.0%
06073017702,1.1028398125172318,4,06073, San Diego County,CA,17702,177.02,3627,16.8%,38.8,14.2%,0.0%
06073017055,1.1003117549972492,6,06073, San Diego County,CA,17055,170.55,5453,14.3%,39.7,5.3%,1.3%
06073020806,1.0973506819250665,7,06073, San Diego County,CA,20806,208.06,6379,17.9%,32.1,41.8%,1.0%
06073009102,1.092896174863388,4,06073, San Diego County,CA,9102,91.02,3660,17.5%,33.4,24.7%,5.2%
06073003213,1.0912265386294195,5,06073, San Diego County,CA,3213,32.13,4582,21.8%,43.5,19.2%,15.9%
06073018511,1.0905125408942202,6,06073, San Diego County,CA,18511,185.11,5502,12.9%,33,41.5%,3.8%
06073007701,1.0890280424720937,4,06073, San Diego County,CA,7701,77.01,3673,14.9%,32.5,6.8%,2.3%
06073018507,1.0849196173192623,11,06073, San Diego County,CA,18507,185.07,10139,15.9%,35.1,43.7%,6.8%
06073020403,1.0796221322537112,4,06073, San Diego County,CA,20403,204.03,3705,17.0%,36.1,30.5%,3.3%
06073017502,1.0772959870724481,4,06073, San Diego County,CA,17502,175.02,3713,15.9%,37.6,27.3%,1.8%
06073017037,1.0762331838565022,6,06073, San Diego County,CA,17037,170.37,5575,16.4%,37.9,21.5%,2.0%
06073013907,1.0706638115631693,5,06073, San Diego County,CA,13907,139.07,4670,11.4%,29.3,70.9%,9.5%
06073003305,1.0604453870625663,7,06073, San Diego County,CA,3305,33.05,6601,9.8%,28.1,58.0%,27.8%
