geo_id,census_tract,tract_name,population,hispanic_pp,black_pp,hispanic_pp_pct,black_pp_pct
1400000US06037117303,06037117303,"Census Tract 1173.03, Los Angeles County, California",4369,2314,166,52.964065003433284,3.799496452277409
1400000US06037117404,06037117404,"Census Tract 1174.04, Los Angeles County, California",5646,2589,403,45.85547290116897,7.137796670208997
1400000US06037117405,06037117405,"Census Tract 1174.05, Los Angeles County, California",3421,3177,96,92.8675825781935,2.8061970184156677
1400000US06037117407,06037117407,"Census Tract 1174.07, Los Angeles County, California",3715,3505,70,94.34724091520862,1.8842530282637955
1400000US06037117408,06037117408,"Census Tract 1174.08, Los Angeles County, California",2803,2060,324,73.49268640742062,11.559043881555477
1400000US06037117510,06037117510,"Census Tract 1175.10, Los Angeles County, California",3661,2928,113,79.9781480469817,3.086588363835018
1400000US06037117520,06037117520,"Census Tract 1175.20, Los Angeles County, California",4226,3487,193,82.51301467108377,4.566966398485565
1400000US06037117530,06037117530,"Census Tract 1175.30, Los Angeles County, California",6231,4976,31,79.85877066281496,0.4975124378109453
1400000US06037119001,06037119001,"Census Tract 1190.01, Los Angeles County, California",4583,3141,12,68.53589351952868,0.2618372245254201
1400000US06037119003,06037119003,"Census Tract 1190.03, Los Angeles County, California",4425,3843,173,86.84745762711864,3.9096045197740112
1400000US06037119004,06037119004,"Census Tract 1190.04, Los Angeles County, California",3353,2840,35,84.70026841634358,1.0438413361169103
1400000US06037119201,06037119201,"Census Tract 1192.01, Los Angeles County, California",4426,3861,31,87.23452327157705,0.7004066877541798
1400000US06037119202,06037119202,"Census Tract 1192.02, Los Angeles County, California",4756,4374,28,91.96804037005887,0.5887300252312868
1400000US06037119310,06037119310,"Census Tract 1193.10, Los Angeles County, California",4297,2540,293,59.111007679776584,6.818710728415174
1400000US06037119320,06037119320,"Census Tract 1193.20, Los Angeles County, California",4735,3423,225,72.29144667370645,4.7518479408658925
1400000US06037119340,06037119340,"Census Tract 1193.40, Los Angeles County, California",4031,3662,242,90.84594393450757,6.003473083602084
1400000US06037119341,06037119341,"Census Tract 1193.41, Los Angeles County, California",2825,1835,111,64.95575221238938,3.929203539823009
1400000US06037119342,06037119342,"Census Tract 1193.42, Los Angeles County, California",3009,2273,50,75.54004652708541,1.6616816218012629
1400000US06037119400,06037119400,"Census Tract 1194, Los Angeles County, California",5564,4458,62,80.12221423436377,1.1143062544931703
1400000US06037119700,06037119700,"Census Tract 1197, Los Angeles County, California",4925,1997,70,40.54822335025381,1.4213197969543148
1400000US06037119801,06037119801,"Census Tract 1198.01, Los Angeles County, California",2648,1738,58,65.6344410876133,2.190332326283988
1400000US06037119802,06037119802,"Census Tract 1198.02, Los Angeles County, California",3340,2509,7,75.11976047904191,0.20958083832335328
1400000US06037119900,06037119900,"Census Tract 1199, Los Angeles County, California",5123,3638,47,71.01307827444856,0.9174311926605505
1400000US06037120010,06037120010,"Census Tract 1200.10, Los Angeles County, California",2796,2149,92,76.85979971387697,3.290414878397711
1400000US06037120020,06037120020,"Census Tract 1200.20, Los Angeles County, California",3872,2768,425,71.48760330578511,10.976239669421489
1400000US06037120030,06037120030,"Census Tract 1200.30, Los Angeles County, California",2500,2174,33,86.96000000000001,1.32
1400000US06037120103,06037120103,"Census Tract 1201.03, Los Angeles County, California",3376,3167,41,93.80924170616115,1.2144549763033177
1400000US06037120104,06037120104,"Census Tract 1201.04, Los Angeles County, California",2243,1445,195,64.42264823896568,8.693713776192599
1400000US06037120105,06037120105,"Census Tract 1201.05, Los Angeles County, California",2694,2066,31,76.68893838158871,1.1507052709725316
1400000US06037120106,06037120106,"Census Tract 1201.06, Los Angeles County, California",4519,3617,57,80.03983182119939,1.2613410046470457
1400000US06037120107,06037120107,"Census Tract 1201.07, Los Angeles County, California",4060,3488,63,85.91133004926108,1.5517241379310345
1400000US06037120108,06037120108,"Census Tract 1201.08, Los Angeles County, California",4592,3647,51,79.42073170731707,1.1106271777003485
1400000US06037120300,06037120300,"Census Tract 1203, Los Angeles County, California",5066,2781,24,54.895380971180415,0.47374654559810503
1400000US06037120400,06037120400,"Census Tract 1204, Los Angeles County, California",6533,3647,292,55.824276748813716,4.469615796724322
